f^id^name^map^tiledmap^group^next_level^unlock_level^required_lv^required_star^required_equip^restrict_equip^topic^energy^hint^bgm^xp_drop^star1_reward^star1_reward_num^star2_reward^star2_reward_num^star3_reward^star3_reward_num^goal1^lifespan^show_xy^find_path^hero_rotation^b
0^110001^紊乱的时空^1001^map1_1_1^1101^110002^110002^0^0^10009^10002^基本语法,方法使用^6^ ^ ^0^18002^10^18002|18000^13|5^11000^1^122001|120004|124003^40^0^0^2^0
0^110002^古迹迷踪^1001^map1_1_2^1101^110003^110003^0^0^10009^10002^基本语法,方法使用^6^ ^ ^0^18002^5^18002^8^18002^10^122001|124001|120004^40^1^0^3^0
0^110003^外星生物^1001^map1_1_3^1101^110004^110006^0^0^10009^10002^基本语法,方法使用^6^ ^ ^0^10000^1^18002^8^18002|18000^10|5^122001|124003|120004^40^1^0^4^0
0^110004^test4^1001^map1_10_3^1101^110005^110005^0^0^ ^ ^基本语法^6^ ^ ^0^18002^5^18002^8^18002^10^120001|121000|122000|123000|124000|125000|126000^40^1^0^0^0
0^110005^test5^1001^map1_10_3^1101^110006^110006^0^0^ ^ ^方法使用^6^ ^ ^0^18002^5^18002|10000^8|1^18002^10^120001|121000|122000|123000|124000|125000|126000^40^1^0^0^0
0^110006^震惊的发现^1001^map1_2_1^1102^110007^110007^0^0^ ^ ^基本语法^6^ ^ ^0^18002^5^18002|12000^8|1^18002^10^122001|123002|120004^40^1^0^1^0
0^110007^直道而行^1001^map1_2_2^1102^110008^110012^0^0^ ^ ^方法使用^6^ ^ ^0^18002^5^18002^8^18002^10^122001|123003|120004^40^1^0^4^0
0^110008^自心的召唤^1001^map1_2_3^1102^110009^110009^0^0^ ^ ^基本语法^6^ ^ ^0^18002^5^18002^8^18002|18000^10|10^122002|123004|120004^40^1^0^4^0
0^110009^远程优势^1001^map1_2_4^1102^110010^110010^0^0^ ^ ^方法使用^6^ ^ ^0^18002^5^18002^8^18002^10^122002|123005|120004^40^1^0^4^0
0^110010^test10^1001^map1_2_5^1102^110011^110011^0^0^ ^ ^基本语法^6^ ^ ^0^18002^5^18002^8^18002|18000^10|5^122001^40^1^0^3^0
0^110011^test11^1001^map1_3_1^1103^110012^110012^0^0^ ^ ^方法使用^6^ ^ ^0^18002^5^18002^8^18002|18000^10|5^122001|124003|120004^40^1^0^1^0
0^110012^test12^1001^map1_3_2^1103^110013^110013^0^0^ ^ ^基本语法^6^ ^ ^0^18002^5^18002^8^18002^10^120004|124003|122001^40^1^0^3^0
0^110013^test13^1001^map1_3_3^1103^110014^110016^0^0^ ^ ^方法使用^6^ ^ ^0^18002^5^18002^8^18002|18000^10|5^120004|124002|122001^40^1^0^4^0
0^110014^test14^1001^map1_3_4^1103^110015^110015^0^0^ ^ ^基本语法^6^ ^ ^0^18002^5^18002^8^18002^10^122001^40^1^0^4^0
0^110015^test15^1001^map1_3_5^1103^110016^110017^0^0^ ^ ^方法使用^6^ ^ ^0^18002^5^18002|13000^8|1^18002^10^120004|124003|123006^40^1^0^3^0
0^110016^test16^1001^map1_4_1^1104^110017^110017^0^0^^^基本语法^6^ ^ ^0^18002^5^18002^8^18002|18000^10|5^122001^40^1^0^0^0
0^110017^test17^1001^map1_4_2^1104^110018^110019^0^0^ ^ ^基本语法^6^ ^ ^0^18002^5^18002^8^18002^10^122001|120004|124002^40^1^0^0^0
0^110018^test18^1001^map1_4_3^1104^110019^110019^0^0^ ^ ^方法使用^6^ ^ ^0^18002^5^18002^8^18002|11001^10|1^122001^40^1^0^0^0
0^110019^test19^1001^map1_4_4^1104^110020^110021^0^0^ ^ ^基本语法^6^ ^ ^0^18002^5^18002^8^18002^10^122001^40^1^0^0^0
0^110020^test20^1001^map1_4_5^1104^110021^110021^0^0^ ^ ^方法使用^6^ ^ ^0^18002^5^18002^8^18002|14001^10|1^122001^40^1^0^0^0
0^110021^test21^1001^map1_5_1^1105^110022^110022^0^0^ ^ ^基本语法^6^ ^ ^0^18002^5^18002^8^18002|18000^10|5^122001|123007|123008^40^1^0^0^0
0^110022^test22^1001^map1_5_2^1105^110023^110024^0^0^ ^ ^方法使用^6^ ^ ^0^18002^5^18002^8^18002|10001^10|1^122001|123009|124001^40^1^0^0^0
0^110023^test23^1001^map1_5_3^1105^110024^110024^0^0^ ^ ^基本语法^6^ ^ ^0^18002^5^18002^8^18002|18000^10|5^122001^40^1^0^0^0
0^110024^test24^1001^map1_5_4^1105^110025^110025^0^0^ ^ ^方法使用^6^ ^ ^0^18002^5^18002^8^18002^10^120004|123011|123010^40^1^0^0^0
0^110025^test25^1001^map1_10_3^1105^110026^110026^0^0^ ^ ^基本语法^6^ ^ ^0^18002^5^18002^8^18002|18000^10|5^122001^40^1^0^0^0
0^110026^test26^1001^map1_6_1^1106^110027^110027^0^0^ ^ ^方法使用^6^ ^ ^0^18002^5^18002^8^18002|18000^10|5^122001|123012|120004^40^1^0^0^0
0^110027^test27^1001^map1_6_2^1106^110028^110028^0^0^ ^ ^基本语法^6^ ^ ^0^18002^5^18002^8^18002^10^120004|124004|123011^40^1^0^0^0
0^110028^test28^1001^map1_6_3^1106^110029^110029^0^0^ ^ ^方法使用^6^ ^ ^0^18002^5^18002^8^18002|18000^10|5^122001^40^1^0^0^0
0^110029^test29^1001^map1_10_3^1106^110030^110030^0^0^ ^ ^基本语法^6^ ^ ^0^18002^5^18002^8^18002|17000^10|1^122001^40^1^0^0^0
0^110030^test30^1001^map1_10_3^1106^110031^110031^0^0^ ^ ^方法使用^6^ ^ ^0^18002^5^18002^8^18002|18000^10|5^122001^40^1^0^0^0
0^110031^test31^1001^map1_7_1^1107^110032^110032^0^0^ ^ ^基本语法^6^ ^ ^0^18002^5^18002^8^18002|18000^10|5^122001^40^1^0^0^0
0^110032^test32^1001^map1_7_2^1107^110033^110033^0^0^ ^ ^方法使用^6^ ^ ^0^18002^5^18002^8^18002^10^122001^40^1^0^0^0
0^110033^test33^1001^map1_7_3^1107^110034^110034^0^0^ ^ ^基本语法^6^ ^ ^0^18002^5^18002^8^18002|18000^10|5^122001^40^1^0^0^0
